,about,again,album,all,all our,all the,alone,always,and,and the,and you,are,around,away,away from,back,bad,bed,been,before,being,better,big,bony,bony knees,break,broken,but,but youll,can,cant,care,carry,cause,chance,come,could,different,dont,dont know,dont you,doubt,down,else,empty,enough,even,ever,every,everyone,everything,eyes,fall,feel,feel like,feeling,feet,find,find the,fine,float,float away,for,for the,for you,forward,from,from the,get,get better,get while,getting,gone,gonna,good,got,guess,had,have,head,heart,here,hey,hold,home,hope,how,ill,ill keep,inside,its,ive,ive been,ive got,just,keep,knees,know,last,lately,leave,left,let,lets,lie,life,like,like the,little,little too,long,look,looking,looking back,lost,love,made,make,makes,might,mind,miss,more,much,myself,need,never,nice,night,nights,not,nothing,now,off,okay,old,one,only,open,other,our,out,out the,out this,over,own,past,place,pretend,put,ready,really,right,same,say,say what,see,see the,seem,seems,seems like,selfish,since,skin,sleep,sleepy,sleepy eyes,smile,smile and,some,someone,something,songs,sounds,sounds little,spent,stable,stand,stay,still,stuck,take,talk,tell,than,that,that you,thats,the,the past,the same,their,then,there,theres,these,they,thing,things,think,thinking,this,this sounds,thought,through,through the,time,told,too,too much,too nice,town,try,trying,turn,two,used,walls,want,was,way,well,well say,were,were willingly,what,what want,what you,when,where,while,while get,who,why,will,willingly,willingly lost,with,without,woah,wont,words,worry,would,year,years,you,you and,you could,you dont,you float,youll,youll get,youll never,your,youre
"""Unconditional Love"" lyrics",0.0,0.0,0.04482348619888438,0.02171062643109118,0.0,0.0,0.0,0.0,0.06086232635850048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14960744550005217,0.33299991425355313,0.0,0.0316711799603527,0.0,0.0,0.04553943217966399,0.0,0.0,0.0,0.038562664873098784,0.023148829852109407,0.0,0.0,0.0,0.15644733134022093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11249319078418939,0.0,0.0,0.04553943217966399,0.0,0.0,0.0,0.0,0.0,0.087693770213676,0.04342125286218236,0.0,0.0,0.0,0.0,0.026545746327659953,0.0,0.048661189420872365,0.0,0.0,0.0,0.0,0.6963750621362628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1067366359512074,0.12699855047389572,0.0,0.034707700338307154,0.09107886435932798,0.0,0.0,0.0,0.0,0.03650629985692148,0.0,0.0,0.14119232196545883,0.0,0.0,0.0,0.024330594710436183,0.0,0.03310938338137092,0.0,0.0,0.0,0.0,0.0,0.042332850157965236,0.0,0.0,0.020403358231950202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031002685419930405,0.0,0.028059781276532712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03237229662870371,0.0,0.13154065532051398,0.0,0.03515324640574683,0.0,0.0,0.1020376555163451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026545746327659953,0.0,0.09109173528363518,0.0,0.031002685419930405,0.043846885106838,0.0,0.0,0.0,0.0,0.0,0.0,0.03310938338137092,0.040963238949191925,0.0,0.0,0.0,0.0,0.0,0.027537176732134936,0.0,0.05833142921400992,0.0,0.09107886435932798,0.06944648955632822,0.0,0.038562664873098784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043846885106838,0.0,0.0,0.0,0.19336802032930359,0.0,0.0,0.0,0.0,0.2313759892385927,0.0,0.3137604221233605,0.0,0.0
"""A Little Too Nice"" lyrics",0.0,0.0,0.0,0.10962062204205208,0.0,0.0,0.0,0.0,0.07682604294630987,0.0,0.1437101808998133,0.0,0.0,0.0,0.0,0.017061718315764487,0.028742036179962658,0.0,0.017379982403085116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024338676525556945,0.013489165654408405,0.0,0.04086329918475284,0.0,0.0,0.0,0.0,0.0,0.0,0.11227735705815665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07099964151424933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020896859040516896,0.0,0.0,0.0,0.2634643274815769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01370257775525651,0.0,0.0,0.0,0.08093499392645043,0.03350848988909562,0.0,0.0,0.12169338262778472,0.0,0.0,0.0,0.0,0.17245221707977593,0.0,0.0,0.013489165654408405,0.0,0.2821607667041884,0.3387398496191703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08911298696597181,0.2452002066380579,0.07995657009435134,0.0,0.015356160583830202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026718214360707742,0.0,0.0501292630642681,0.09014250347419352,0.0,0.2194583741032576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23103345390327346,0.2634643274815769,0.0,0.0,0.025853789552779994,0.0,0.0,0.0,0.0,0.37621435560558447,0.0,0.0,0.05546708817376896,0.0,0.0,0.009200095848484751,0.0,0.0,0.0,0.025853789552779994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300838122958054,0.2634643274815769,0.0,0.01675424494454781,0.0,0.0,0.0,0.176105023060038,0.0,0.2634643274815769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023666547171416443,0.0,0.0,0.0,0.0,0.0,0.0,0.02506463153213405,0.0,0.0,0.0,0.0,0.09153260762715125,0.024338676525556945,0.13836895826318385,0.0,0.0,0.0,0.0,0.0,0.014374707109397013,0.0
"""Looking Back"" lyrics",0.0,0.0,0.0,0.038428606400135464,0.0,0.0,0.0,0.0,0.09426248444256069,0.0,0.0,0.026872619671836056,0.0,0.0,0.0,0.16747237219306524,0.0,0.0,0.04874181449203794,0.09955854026280363,0.0,0.03318618008760121,0.0,0.0,0.0,0.0,0.0,0.11349028924151852,0.0,0.05730015434429647,0.0,0.0,0.0,0.0,0.04200145292918345,0.0,0.03148796116395111,0.0,0.02048713964642862,0.04030323400553335,0.0,0.03514662995958211,0.023076460343459716,0.0,0.0,0.0,0.0,0.0,0.0840887281249499,0.0,0.0,0.0,0.030716952354829373,0.02267268832236887,0.0,0.0,0.0,0.15358476177414687,0.13884186856593814,0.0,0.0,0.0,0.0,0.0,0.0,0.12090970201660005,0.06922938103037915,0.0,0.0840887281249499,0.0,0.0,0.0,0.0,0.0,0.07761059751042623,0.0,0.0,0.22616122177445466,0.029302412488010854,0.0,0.0,0.0840887281249499,0.0,0.0,0.0,0.0,0.04534537664473774,0.04234950614409727,0.0,0.15522119502085246,0.09607151600033866,0.09069075328947548,0.0,0.0,0.0,0.0,0.0,0.04306604650843219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07566019282767901,0.0,0.0,0.0,0.07493070002746095,0.12923498387111695,0.10875965680558744,0.1473555205413468,0.0,0.0,0.0,0.061433904709658746,0.0,0.0,0.0,0.0,0.0,0.03230874596777924,0.0745002656030389,0.0,0.0,0.0,0.0,0.0,0.021533023254216094,0.0,0.05860482497602171,0.03318618008760121,0.0,0.0,0.05605915208329994,0.0,0.0,0.0,0.0,0.018057346830253816,0.0,0.04396190280116435,0.0,0.0,0.0,0.0,0.0,0.0,0.18512249142125084,0.0,0.029990025913630872,0.0,0.0,0.0,0.02483342186767963,0.037465350013730477,0.0,0.1612129360221334,0.1758476112046574,0.0,0.037465350013730477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06637236017520241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026872619671836056,0.0,0.11460030868859294,0.0,0.0,0.030716952354829373,0.031111268808873462,0.0,0.0,0.09030519949011803,0.0,0.0,0.0,0.07250643787039164,0.0,0.028650077172148236,0.0,0.0,0.0806064680110667,0.12595184465580445,0.0,0.0,0.04456268409532468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0879238056023287,0.0,0.0,0.09955854026280363,0.0,0.03625321893519582,0.0,0.0,0.061433904709658746,0.0,0.0,0.07311272173805691,0.0,0.0,0.0,0.0,0.02048713964642862,0.0,0.0,0.0,0.028650077172148236,0.0,0.03318618008760121,0.0,0.0,0.019834804330566,0.1812660946759791,0.633326107712959,0.0,0.0,0.0,0.0,0.13651466712415464,0.0,0.09982831251314234,0.0,0.038805298755213116,0.037465350013730477,0.0,0.0,0.0,0.0,0.04031357978701037,0.0
"""I've Never Been Home"" lyrics",0.10417718374288364,0.0,0.0,0.07601932501977253,0.0,0.14822762969948744,0.12152831983365445,0.0,0.1598311655213411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19284174915646327,0.0,0.0,0.0,0.1661742332407359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08105516558632399,0.0,0.0,0.0,0.0,0.14822762969948744,0.0,0.0,0.13502640119211537,0.0,0.0,0.0,0.0,0.10212316743512787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12457873330134275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2491574666026855,0.0,0.35880821588036244,0.0,0.0,0.0,0.07601932501977253,0.08970205397009061,0.0,0.0,0.07483535481013069,0.0,0.0,0.08519309164512419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14343196339474376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08239701610219823,0.0,0.0,0.1535289928469288,0.08519309164512419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13129755390948378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14343196339474376,0.14343196339474376,0.0,0.0,0.14343196339474376,0.1535289928469288,0.13129755390948378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13905386307413575,0.0,0.0,0.0,0.0,0.246176780987918,0.1661742332407359,0.2318636898351522,0.10208080392037591,0.0,0.0,0.0,0.0,0.0,0.22670190073647062,0.0,0.0,0.0,0.0,0.23730462703135333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14822762969948744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11335095036823531,0.0,0.0,0.0,0.0,0.15694854207396633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13502640119211537,0.11284571046732729,0.13502640119211537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Island (Acoustic)"" lyrics",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020371944952068555,0.049990990515660715,0.0,0.08977223678657607,0.03990441025029508,0.0,0.25332650294432896,0.0,0.0,0.0,0.026095437622934415,0.0,0.0,0.0,0.04927971150664269,0.0,0.0,0.0,0.05984815785771739,0.0,0.014043920034043023,0.0,0.042543840055095906,0.0,0.0,0.0,0.0,0.0,0.08977223678657607,0.0,0.0,0.13690040490296645,0.0,0.218815106831225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022806519858771374,0.0,0.031184961296333476,0.4702277845075042,0.4702277845075042,0.04563346830098882,0.0,0.0,0.0,0.0,0.0,0.04162242889479413,0.0,0.0,0.05067925409421515,0.0,0.027817025570560084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08977223678657607,0.0,0.0,0.01683386784283443,0.031443381547996016,0.0,0.0,0.0,0.0,0.0,0.0,0.05617568013617209,0.052329836164871024,0.0,0.0,0.0,0.0,0.0,0.0,0.08075115148524205,0.1496203946442935,0.0,0.0,0.12639528030638722,0.0,0.0,0.0,0.08345107671168026,0.023988384264635804,0.0,0.0,0.0,0.027817025570560084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03092594691690769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043512523286683466,0.0,0.031184961296333476,0.05219087524586883,0.026814199164270806,0.0,0.0,0.0,0.028811901860022273,0.0,0.0,0.0,0.0,0.0,0.0,0.02226679631701014,0.0,0.020371944952068555,0.0,0.0,0.0,0.0,0.11969631571543478,0.1305621726637862,0.0,0.0,0.0,0.0,0.0,0.0,0.031184961296333476,0.0,0.05383410099016137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021271920027547953,0.0,0.0,0.0,0.011549644667297078,0.0,0.0,0.028735374828633375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701369201575397,0.02226679631701014,0.0,0.0,0.0,0.0,0.0,0.0,0.03990441025029508,0.0,0.06111583485620566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025339627047107575,0.0,0.03618950042061842,0.0,0.0,0.0,0.0,0.06084462440131842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01472681448453582,0.0,0.0,0.0,0.0,0.0,0.025339627047107575,0.0,0.0,0.19059394108679226,0.0,0.0,0.0,0.4702277845075042,0.0,0.0,0.0,0.014965880198171168,0.0
"""I Had A Heart"" lyrics",0.1473463350665853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22606232596107326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18570489887226757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052922889967418375,0.0,0.0,0.15684931409722214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085743231372592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1903094577752122,0.10482524679171103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11464296843382359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09039745440418832,0.0,0.0,0.18570489887226757,0.0,0.0,0.0,0.0,0.0,0.12687297185014146,0.11849075029153991,0.0,0.0,0.16128054915859935,0.0,0.0,0.0,0.052922889967418375,0.0,0.0,0.0602477883155402,0.09548945670288232,0.0,0.0,0.08594373494720242,0.0,0.0,0.0,0.0,0.10584577993483675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22553086783311999,0.0,0.0,0.0,0.0,0.0,0.0,0.07842465704861107,0.0,0.0,0.09285244943613379,0.0,0.0,0.0,0.0,0.07842465704861107,0.0,0.0,0.0,0.0,0.15156931702422405,0.0,0.0,0.17188746989440484,0.0,0.0,0.09285244943613379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06948205675399187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07518757967048599,0.0,0.0,0.0,0.0,0.08594373494720242,0.0,0.0,0.0819859582126564,0.18047656643609322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12468305664518034,0.0,0.09833764152903728,0.0,0.0,0.22556273901145796,0.10482524679171103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0819859582126564,0.0,0.0,0.3136986281944443,0.0,0.0,0.0,0.0,0.0,0.1444411713422349,0.0,0.22553086783311999,0.0,0.0,0.0,0.0,0.16032154559193282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09548945670288232,0.3819578268115293,0.0,0.1596069433627927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""Cheap Talk And Eager Lies"" lyrics",0.03252323240456424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1663264435640894,0.09586089651882028,0.0,0.0,0.0,0.1505088926332866,0.0,0.08865165466465404,0.0,0.0,0.0,0.0,0.0,0.0,0.2593909248246454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14934187862137796,0.0,0.04215409621325152,0.07591420385659631,0.0,0.0,0.0,0.08550881894864448,0.0,0.0,0.14934187862137796,0.12646228863975456,0.0,0.0,0.0,0.0,0.09564595784947319,0.07588021959666678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10121893847546175,0.1556345548947872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12646228863975456,0.0,0.1388262230641294,0.0,0.11667726896397033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12296994523737957,0.05600843953770847,0.0,0.0,0.0,0.047465175886462894,0.0,0.0,0.0,0.023362962494502686,0.17410808331288835,0.0,0.05319312001514891,0.04215409621325152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023362962494502686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03794010979833339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04215409621325152,0.07717094687686278,0.0,0.0,0.0,0.13298280003787227,0.12296994523737957,0.0,0.0,0.0,0.0,0.10386237348710196,0.0,0.0,0.0,0.0,0.13382142476098316,0.046275407688043134,0.0,0.07588021959666678,0.0,0.07408449008054852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08955648275621314,0.08955648275621314,0.0,0.0,0.0,0.0,0.0,0.04477824137810657,0.0,0.0,0.0,0.0,0.0,0.26866944826863937,0.0,0.0,0.07077440893781452,0.27149819421418003,0.0,0.03794010979833339,0.057640725922564306,0.0,0.10857881351400392,0.2390157031510699,0.0,0.0,0.0,0.0,0.0,0.10616161340672177,0.11382032939500018,0.0,0.19912250482850397,0.07778484597598023,0.03704224504027426,0.0,0.11008339030217928,0.0,0.0,0.02901801388548139,0.0,0.0,0.0,0.0,0.0,0.0,0.1388262230641294,0.0,0.13023430687110038,0.0,0.0,0.0,0.0,0.034620791162367326,0.0,0.15176043919333357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15182840771319261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1736457424948005,0.04793044825941014,0.12646228863975456,0.0,0.0,0.28183578288659655,0.08430819242650305,0.0,0.046275407688043134,0.0,0.0,0.0,0.0,0.04979340482137957,0.0
"""Take A Hint"" lyrics",0.0,0.0,0.015016812985185968,0.014547035251133421,0.0,0.0,0.0,0.0,0.02039016261951762,0.0,0.0,0.0,0.0238393490655806,0.018451069659850647,0.0,0.0181131917087004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021690803888712664,0.0,0.0,0.03179905146690404,0.0,0.0,0.0,0.0,0.025838611661764842,0.015510692192597422,0.0,0.0,0.026609305560390067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017165358162053904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031021384385194844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01603128024814615,0.0,0.0,0.014547035251133421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014320471066678064,0.025838611661764842,0.06656659292783353,0.0,0.0,0.0,0.0,0.0,0.1907147925246448,0.0,0.0,0.0,0.0,0.13313318585566705,0.0,0.0,0.0,0.0,0.01880123674295562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953971544007121,0.0,0.013671110429896757,0.0,0.0,0.0,0.029379262055199543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16618485297602187,0.2974986469810719,0.11280742045773373,0.08509438437671808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16468258515317655,0.0,0.0,0.13014482333227598,0.0,0.0,0.0,0.05888539378161975,0.0,0.0,0.13673906429651347,0.0,0.0,0.029379262055199543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03557353895999088,0.029379262055199543,0.0,0.0,0.020773106622002734,0.0,0.0,0.0,0.0,0.0,0.0,0.025125060563377342,0.0,0.0,0.16976820923728092,0.0,0.0,0.33590195160294295,0.31965829893954767,0.14760855727880517,0.31965829893954767,0.19542258711844732,0.31965829893954767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31965829893954767,0.31965829893954767,0.0,0.0,0.0,0.0,0.026609305560390067,0.0,0.0,0.0,0.025838611661764842,0.04318824266541266,0.0,0.0,0.02836479479223936,0.0,0.0,0.0,0.0,0.015260586349520924,0.0
"""Ripcord"" lyrics",0.0,0.04537920944525476,0.024827801956878528,0.14430661577706205,0.36889838894104243,0.0,0.0,0.0,0.016855870812446615,0.0,0.0,0.033637240285083525,0.07882879515980101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047353032886996285,0.0,0.0,0.1754271812565681,0.0,0.15772332378695542,0.0,0.0,0.0,0.0,0.04271984566977312,0.0,0.0,0.0,0.043994059812502206,0.028885477150397975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11534791023010031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564434906073659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4055156197560185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03508543625131362,0.0,0.0,0.0,0.0415401076405152,0.028380063958097227,0.0,0.0,0.0,0.04810220525902068,0.0,0.0,0.0,0.023676516443498143,0.0,0.0,0.026953512017493225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07102954933049442,0.0,0.0,0.0,0.0,0.04044179781128351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13198217943750662,0.0,0.0,0.12815953700931934,0.0,0.0,0.07017087250262724,0.0,0.0,0.0,0.2567507787777791,0.0,0.05257444126231848,0.0,0.0,0.11003604804761959,0.0,0.0,0.26396435887501324,0.22602906663280242,0.04689646920048509,0.0,0.0,0.0,0.0,0.0,0.0,0.2628722063115924,0.0,0.0,0.11261816526990188,0.0,0.0,0.0,0.0,0.0,0.14572116613531172,0.0,0.0,0.15134619360511134,0.0,0.09075841889050952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06727448057016705,0.0,0.0,0.0,0.0,0.0,0.058414321190725926,0.0,0.0,0.19377882328894397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039414397579900506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033637240285083525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05044873120170378,0.0415401076405152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03230987357746311,0.0,0.0,0.20515479248589272,0.07507877684660126,0.04271984566977312,0.0,0.0,0.0,0.0415401076405152,0.0,0.0,0.049655603913757056,0.0,0.0,0.0,0.08798811962500441,0.0,0.0,0.0,0.0,0.21421372234313632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15138504395260957,0.1318389047627957
"""Get By"" lyrics",0.0,0.0,0.014492796656674085,0.0,0.0,0.0,0.0,0.08019289059458636,0.049196603988593636,0.0,0.0,0.058905458210529234,0.0,0.1068432833020458,0.051361531244009766,0.0874056314400785,0.0,0.0,0.0178072138836743,0.02424831381271541,0.0,0.24248313812715408,0.0,0.0,0.0,0.02944856754389163,0.09974786130030187,0.0,0.0,0.020933896585715196,0.0,0.0,0.0,0.11779427017556653,0.0,0.0,0.0,0.0,0.05987776718624239,0.0,0.0,0.0,0.016861393827726334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026489322577687695,0.0,0.0,0.0,0.0,0.0,0.0,0.014969441796560597,0.0,0.0,0.0,0.050584181483179,0.0,0.3481687021440872,0.385629654800871,0.2699407583606097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021410541725601702,0.0,0.02424831381271541,0.020480511890828657,0.0,0.23558854035113305,0.0,0.09699325525086164,0.016566367685809415,0.0618874550843081,0.0,0.0,0.0,0.016566367685809415,0.02493696532507547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022444110714279226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05474999302951261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02944856754389163,0.0,0.0,0.0,0.0,0.0,0.018145161778231386,0.0,0.0,0.0,0.0,0.0,0.03146728570907794,0.0,0.0,0.0,0.0,0.0,0.040961023781657314,0.042821083451203404,0.0,0.0,0.0,0.05277621123120786,0.0,0.0,0.0897764428571169,0.0,0.0,0.02424831381271541,0.0,0.0,0.0,0.02424831381271541,0.0,0.0,0.1603857811891727,0.0,0.018145161778231386,0.0,0.028354063629159244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026489322577687695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03770500354366087,0.0,0.0,0.0,0.0,0.022444110714279226,0.08373558634286078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10949998605902522,0.02004822264864659,0.0,0.0,0.0,0.0,0.0,0.11779427017556653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0356144277673486,0.0,0.1131619533394792,0.0,0.0,0.07484720898280299,0.0,0.2493696532507547,0.385629654800871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02493696532507547,0.0,0.0,0.0,0.0,0.0,0.19798558407501926,0.0,0.0,0.0,0.0,0.17455875727552828,0.2699407583606097,0.0,0.014728063474147611,0.038479331385927545
